WBGeneID,Sequence.name,tissue
WBGene00000007,aat-6,intestine
WBGene00000008,aat-7,intestine
WBGene00000016,abf-5,nervous-system
WBGene00000031,abu-8,intestine
WBGene00000034,abu-11,nervous-system
WBGene00000038,ace-4,nervous-system
WBGene00000043,acr-3,nervous-system
WBGene00000044,acr-5,nervous-system
WBGene00000045,acr-6,nervous-system
WBGene00000049,acr-10,nervous-system
WBGene00000051,acr-12,nervous-system
WBGene00000056,acr-17,nervous-system
WBGene00000057,acr-18,nervous-system
WBGene00000058,acr-19,nervous-system
WBGene00000059,acr-20,nervous-system
WBGene00000061,lgc-11,nervous-system
WBGene00000071,acy-4,nervous-system
WBGene00000080,adr-2,reproductive-system
WBGene00000099,air-2,reproductive-system
WBGene00000101,aka-1,reproductive-system
WBGene00000111,alh-5,intestine
WBGene00000134,amt-2,nervous-system
WBGene00000136,amt-4,intestine
WBGene00000143,apc-2,reproductive-system
WBGene00000157,aps-2,nervous-system
WBGene00000172,aqp-4,intestine
WBGene00000174,aqp-6,nervous-system
WBGene00000177,aqp-9,intestine
WBGene00000180,arc-1,nervous-system
WBGene00000186,ark-1,reproductive-system
WBGene00000188,arl-3,nervous-system
WBGene00000193,arl-6,nervous-system
WBGene00000198,art-1,intestine
WBGene00000213,asm-3,intestine
WBGene00000214,asp-1,intestine
WBGene00000227,atm-1,reproductive-system
WBGene00000232,avr-14,nervous-system
WBGene00000233,avr-15,nervous-system
WBGene00000253,bli-3,epithelial-system
WBGene00000257,bmk-1,reproductive-system
WBGene00000264,brc-1,reproductive-system
WBGene00000265,brd-1,reproductive-system
WBGene00000269,bre-4,reproductive-system
WBGene00000284,cah-6,nervous-system
WBGene00000285,cal-1,nervous-system
WBGene00000287,cal-3,nervous-system
WBGene00000372,cyp-13A7,intestine
WBGene00000374,cyp-31A1,nervous-system
WBGene00000375,cyp-44A1,intestine
WBGene00000397,cdh-5,intestine
WBGene00000399,cdh-7,nervous-system
WBGene00000401,cdh-9,nervous-system
WBGene00000408,cdk-7,reproductive-system
WBGene00000411,cdl-1,reproductive-system
WBGene00000423,ced-9,reproductive-system
WBGene00000425,ced-11,epithelial-system
WBGene00000432,ceh-7,nervous-system
WBGene00000452,ceh-31,nervous-system
WBGene00000457,ceh-36,nervous-system
WBGene00000468,ces-1,nervous-system
WBGene00000476,cfi-1,nervous-system
WBGene00000481,cha-1,nervous-system
WBGene00000484,che-2,nervous-system
WBGene00000487,che-6,nervous-system
WBGene00000491,che-12,nervous-system
WBGene00000497,chs-2,nervous-system
WBGene00000498,chk-1,reproductive-system
WBGene00000499,chk-2,reproductive-system
WBGene00000503,cht-1,reproductive-system
WBGene00000513,ckb-3,reproductive-system
WBGene00000514,ckb-4,nervous-system
WBGene00000521,cky-1,nervous-system
WBGene00000541,cln-3.3,intestine
WBGene00000561,cnd-1,nervous-system
WBGene00000562,cng-1,nervous-system
WBGene00000565,cnt-1,nervous-system
WBGene00000592,coh-3,reproductive-system
WBGene00000593,col-2,nervous-system
WBGene00000594,col-3,intestine
WBGene00000596,col-7,epithelial-system
WBGene00000601,col-12,nervous-system
WBGene00000613,col-36,nervous-system
WBGene00000622,col-45,nervous-system
WBGene00000623,col-46,intestine
WBGene00000624,col-47,epithelial-system
WBGene00000625,col-48,nervous-system
WBGene00000628,col-51,epithelial-system
WBGene00000630,col-53,nervous-system
WBGene00000632,col-55,nervous-system
WBGene00000636,col-60,nervous-system
WBGene00000640,col-64,nervous-system
WBGene00000644,col-68,nervous-system
WBGene00000656,col-80,reproductive-system
WBGene00000657,col-81,reproductive-system
WBGene00000658,col-83,intestine
WBGene00000661,col-86,intestine
WBGene00000662,col-87,nervous-system
WBGene00000663,col-88,nervous-system
WBGene00000666,col-91,epithelial-system
WBGene00000667,col-92,epithelial-system
WBGene00000668,col-93,epithelial-system
WBGene00000676,col-102,nervous-system
WBGene00000682,col-108,nervous-system
WBGene00000684,col-110,nervous-system
WBGene00000685,col-111,nervous-system
WBGene00000693,col-119,reproductive-system
WBGene00000699,col-125,intestine
WBGene00000700,col-126,epithelial-system
WBGene00000701,col-127,epithelial-system
WBGene00000705,col-131,nervous-system
WBGene00000712,col-139,epithelial-system
WBGene00000714,col-141,epithelial-system
WBGene00000717,col-144,epithelial-system
WBGene00000718,col-145,nervous-system
WBGene00000722,col-149,epithelial-system
WBGene00000723,col-150,epithelial-system
WBGene00000724,col-151,intestine
WBGene00000726,col-153,intestine
WBGene00000731,col-158,nervous-system
WBGene00000732,col-159,nervous-system
WBGene00000734,col-161,nervous-system
WBGene00000736,col-163,nervous-system
WBGene00000737,col-164,nervous-system
WBGene00000739,col-166,nervous-system
WBGene00000740,col-167,intestine
WBGene00000741,col-168,intestine
WBGene00000745,col-172,nervous-system
WBGene00000747,col-174,nervous-system
WBGene00000752,col-179,epithelial-system
WBGene00000757,col-184,epithelial-system
WBGene00000758,col-185,nervous-system
WBGene00000759,col-186,nervous-system
WBGene00000766,coq-6,reproductive-system
WBGene00000768,cor-1,nervous-system
WBGene00000771,cpb-2,reproductive-system
WBGene00000773,cpf-1,reproductive-system
WBGene00000786,cpr-6,intestine
WBGene00000797,crn-4,reproductive-system
